OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
2003,50112561,DUNKIN DONUTS,65 EAST   34 STREET,"New York, NY 10016",Manhattan,Donuts
2006,50114358,DUNKIN DONUTS,1006 1 AVENUE,"New York, NY 10022",Manhattan,American 
2009,50139808,DIM SUM PALACE,123 WILLIAM STREET,"New York, NY 10038",Manhattan,Chinese
2015,50125874,DUNKIN DONUTS,471 LEXINGTON AVENUE,"New York, NY 10017",Manhattan,Donuts
2018,50080884,DUNKIN',1433 2 AVENUE,"New York, NY 10021",Manhattan,Donuts
2021,50089255,DUNKIN',730 COLUMBUS AVENUE,"New York, NY 10025",Manhattan,Donuts
2026,50095659,Downstein Dining Hall @NYU,5 UNIVERSITY PLACE,"New York, NY 10003",Manhattan,Jewish/Kosher
2035,50088194,DOWNTOWN YOGURT,303 GREENWICH STREET,"New York, NY 10013",Manhattan,Frozen Desserts
2036,50065733,DEL FRISCO'S GRILLE,200 VESEY STREET,"New York, NY 10281",Manhattan,American 
2038,50130194,EL CHURRO,175 EAST HOUSTON STREET,"New York, NY 10002",Manhattan,Coffee/Tea
2048,50104937,DRAGON TEA,106 GREENWICH STREET,"New York, NY 10006",Manhattan,Coffee/Tea
2052,50136848,Delice & sarrasin,178 WEST HOUSTON STREET,"New York, NY 10014",Manhattan,Vegan
2053,50106252,ZAAB ZAAB,88 ESSEX STREET,"New York, NY 10002",Manhattan,Thai
2058,50135183,DONNA COCKTAIL CLUB,7 CORNELIA STREET,"New York, NY 10014",Manhattan,Spanish
2061,50126677,DOS CAMINOS,245 PARK AVENUE,"New York, NY 10167",Manhattan,Spanish
2064,50120973,DOT DASH (PEOPLE MAGAZINE),225 LIBERTY STREET,"New York, NY 10281",Manhattan,American 
2071,50112968,DELICE MACARONS,321 1/2 AMSTERDAM AVENUE,"New York, NY 10023",Manhattan,Bakery Products/Desserts
2079,50065982,EL CASTILLO DE MANHATTAN RESTAURANT,207 MADISON STREET,"New York, NY 10002",Manhattan,Spanish
2082,50120496,Della's,66 WEST BROADWAY,"New York, NY 10007",Manhattan,Italian
2088,50136821,ELOREA,41 SPRING STREET,"New York, NY 10012",Manhattan,Coffee/Tea
2093,50089189,DUNKIN,208 EAST   14 STREET,"New York, NY 10003",Manhattan,Coffee/Tea
2095,50093964,DOWNSTEIN DINING HALL @ NYU,5 UNIVERSITY PLACE,"New York, NY 10003",Manhattan,American 
2096,50089256,DUNKIN,687 AMSTERDAM AVENUE,"New York, NY 10025",Manhattan,Donuts
2097,50124845,Lilo Creamery,1564A 1 AVENUE,"New York, NY 10028",Manhattan,Frozen Desserts
2099,50089259,DUNKIN,398 AUDUBON AVENUE,"New York, NY 10033",Manhattan,Donuts
2101,50106799,DRAGON SUSHI OF 8 AVENUE,2072 8 AVENUE,"New York, NY 10026",Manhattan,Japanese
