,lon,short_name,region_id,capacity,station_id,name,lat,rental_uris.android,rental_uris.ios,geometry,index_right,zone
1984,-74.015936,4631.02,71,29,2088792249063596144,Soissons Landing,40.692566,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.015936 40.692566),537,Governor's Island/Ellis Island/Liberty Island
1986,-73.99061728,6890.01,71,29,66dc4334-0aca-11e7-82f6-3863bb44ef7c,W 53 St & 10 Ave,40.76669671,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99061728 40.76669671),291,Clinton West
1991,-74.01043382,5105.01,71,67,66db3583-0aca-11e7-82f6-3863bb44ef7c,Liberty St & Broadway,40.70905623,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.01043382 40.70905623),479,Financial District North
1993,-73.935111,8242.04,71,23,3c73cc9f-3c09-4ac4-a4ea-22b4f027bf23,Amsterdam Ave & W 172 St,40.842173,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.935111 40.842173),663,Highbridge Park
1994,-73.99510132,5872.08,,43,66db5f40-0aca-11e7-82f6-3863bb44ef7c,E 10 St & 5 Ave,40.73331967,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99510132 40.73331967),591,Greenwich Village North
1996,-74.01234218,4846.01,71,55,66db4417-0aca-11e7-82f6-3863bb44ef7c,South St & Whitehall St,40.70122128,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.01234218 40.70122128),495,Financial District South
2003,-73.97768752,5616.01,71,50,66dbecd0-0aca-11e7-82f6-3863bb44ef7c,E 9 St & Ave C,40.72521311,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97768752 40.72521311),0,Alphabet City
2013,-74.01322069,5329.03,71,115,66dc0e99-0aca-11e7-82f6-3863bb44ef7c,West St & Chambers St,40.71754834,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.01322069 40.71754834),26,Battery Park City
2014,-73.95840793848038,6925.09,71,55,e36b5913-8e46-4c2a-b9be-73bdf8ee548b,2 Ave & E 72 St,40.7687620293096,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.95840793848038 40.7687620293096),821,Lenox Hill West
2016,-73.92006,8579.09,71,20,99b7c9a5-9679-417f-b884-21c4b240aa99,10 Ave & W 204 St,40.862638,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.92006 40.862638),710,Inwood
