lat,lon,processed,new_records,error
40.805,-73.935,True,12,
40.805,-73.93,True,31,
40.805,-73.925,True,44,
40.81,-74.02,True,7,
40.81,-74.015,True,5,
40.81,-74.01,True,5,
40.81,-74.005,True,11,
40.81,-74.0,True,16,
40.81,-73.995,True,4,
40.81,-73.99,True,5,
40.81,-73.985,True,2,
40.81,-73.98,True,0,
40.81,-73.975,True,0,
40.81,-73.97,True,2,
40.81,-73.965,True,32,
40.81,-73.96,True,40,
40.81,-73.955,True,28,
40.81,-73.95,True,23,Too many results: likely to exceed 240 limit
40.81,-73.945,True,28,
40.81,-73.94,True,6,
40.81,-73.935,True,8,
40.81,-73.93,True,12,
40.81,-73.925,True,21,
40.815,-74.02,True,0,
40.815,-74.015,True,2,
40.815,-74.01,True,6,
40.815,-74.005,True,13,
40.815,-74.0,True,15,
40.815,-73.995,True,16,
40.815,-73.99,True,0,
40.815,-73.985,True,12,
40.815,-73.98,True,9,
40.815,-73.975,True,0,
40.815,-73.97,True,0,
40.815,-73.965,True,19,
40.815,-73.96,True,25,
40.815,-73.955,True,13,
40.815,-73.95,True,31,
40.815,-73.945,True,23,
40.815,-73.94,True,6,
40.815,-73.935,True,4,
40.815,-73.93,True,29,
40.815,-73.925,True,46,
40.82,-74.02,True,0,
40.82,-74.015,True,9,
40.82,-74.01,True,1,
40.82,-74.005,True,10,
40.82,-74.0,True,2,
40.82,-73.995,True,27,
40.82,-73.99,True,13,
40.82,-73.985,True,1,
40.82,-73.98,True,7,
40.82,-73.975,True,0,
40.82,-73.97,True,0,
40.82,-73.965,True,0,
40.82,-73.96,True,26,
40.82,-73.955,True,63,
40.82,-73.95,True,33,
40.82,-73.945,True,41,
40.82,-73.94,True,9,
40.82,-73.935,True,11,
40.82,-73.93,True,10,
40.82,-73.925,True,8,
40.825,-74.02,True,1,
40.825,-74.015,True,3,
40.825,-74.01,True,0,
40.825,-74.005,True,0,
40.825,-74.0,True,4,
40.825,-73.995,True,0,
40.825,-73.99,True,41,
40.825,-73.985,True,5,
40.825,-73.98,True,12,
40.825,-73.975,True,6,
40.825,-73.97,True,0,
40.825,-73.965,True,0,
40.825,-73.96,True,1,
40.825,-73.955,True,44,
40.825,-73.95,True,41,Too many results: likely to exceed 240 limit
40.825,-73.945,True,13,Too many results: likely to exceed 240 limit
40.825,-73.94,True,14,
40.825,-73.935,True,0,
40.825,-73.93,True,39,
40.825,-73.925,True,22,
40.83,-74.02,True,1,
40.83,-74.015,True,13,
40.83,-74.01,True,1,
40.83,-74.005,True,3,
40.83,-74.0,True,0,
40.83,-73.995,True,3,
40.83,-73.99,True,6,
40.83,-73.985,True,3,
40.83,-73.98,True,0,
40.83,-73.975,True,2,
40.83,-73.97,True,0,
40.83,-73.965,True,0,
40.83,-73.96,True,0,
40.83,-73.955,True,1,
40.83,-73.95,True,26,
40.83,-73.945,True,22,
40.83,-73.94,True,1,
40.83,-73.935,True,8,
40.83,-73.93,True,3,
40.83,-73.925,True,21,
40.835,-74.02,True,2,
40.835,-74.015,True,0,
40.835,-74.01,True,4,
40.835,-74.005,True,2,
40.835,-74.0,True,0,
40.835,-73.995,True,0,
40.835,-73.99,True,0,
40.835,-73.985,True,5,
40.835,-73.98,True,1,
40.835,-73.975,True,1,
40.835,-73.97,True,0,
40.835,-73.965,True,0,
40.835,-73.96,True,0,
40.835,-73.955,True,0,
40.835,-73.95,True,11,
40.835,-73.945,True,69,
40.835,-73.94,True,10,
40.835,-73.935,True,1,
40.835,-73.93,True,11,
40.835,-73.925,True,30,
40.84,-74.02,True,0,
40.84,-74.015,True,2,
40.84,-74.01,True,3,
40.84,-74.005,True,32,
40.84,-74.0,True,0,
40.84,-73.995,True,2,
40.84,-73.99,True,3,
40.84,-73.985,True,3,
40.84,-73.98,True,3,
40.84,-73.975,True,1,
40.84,-73.97,True,1,
40.84,-73.965,True,0,
