place_id,day,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ChIJkZRgM6xZwokRNp1lrJM2hL8,Friday,0,0,0,0,0,0,2,4,7,11,12,11,7,9,14,21,24,25,22,25,37,57,82,100
ChIJkZRgM6xZwokRNp1lrJM2hL8,Saturday,85,66,37,0,0,0,0,0,0,0,3,4,7,10,11,10,7,6,7,12,21,34,48,63
ChIJkZRgM6xZwokRNp1lrJM2hL8,Sunday,63,58,40,0,0,0,0,0,0,0,0,5,5,4,4,4,6,8,7,8,6,6,0,0
ChIJtcPJYqtZwokRiiFBAJz8krQ,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,51,60,59,51,38,24
ChIJtcPJYqtZwokRiiFBAJz8krQ,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,63,59,54,45,31
ChIJtcPJYqtZwokRiiFBAJz8krQ,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,57,63,66,68,70,59
ChIJtcPJYqtZwokRiiFBAJz8krQ,Thursday,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,63,68,71,74,75,68
ChIJtcPJYqtZwokRiiFBAJz8krQ,Friday,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,58,68,77,90,100,95
ChIJtcPJYqtZwokRiiFBAJz8krQ,Saturday,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJtcPJYqtZwokRiiFBAJz8krQ,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJJ91wx65ZwokRnjW2e69Imic,Monday,9,0,0,0,0,0,0,0,0,0,0,9,17,24,31,36,43,52,56,52,44,40,37,30
ChIJJ91wx65ZwokRnjW2e69Imic,Tuesday,18,0,0,0,0,0,0,0,0,0,0,14,22,29,35,44,57,71,81,75,64,55,48,38
ChIJJ91wx65ZwokRnjW2e69Imic,Wednesday,23,0,0,0,0,0,0,0,0,0,0,13,21,30,37,50,67,88,100,90,74,61,53,41
ChIJJ91wx65ZwokRnjW2e69Imic,Thursday,24,9,0,0,0,0,0,0,0,0,0,21,29,33,38,49,67,86,96,90,75,65,59,49
ChIJJ91wx65ZwokRnjW2e69Imic,Friday,31,17,0,0,0,0,0,0,0,0,0,16,25,30,36,45,56,65,73,70,65,67,71,69
ChIJJ91wx65ZwokRnjW2e69Imic,Saturday,49,27,0,0,0,0,0,0,0,0,0,20,32,41,49,60,73,79,76,67,62,66,72,69
ChIJJ91wx65ZwokRnjW2e69Imic,Sunday,50,31,0,0,0,0,0,0,0,0,0,21,29,37,45,53,57,56,43,31,25,25,22,17
ChIJFY4KLq9ZwokROL0kzgBIbgE,Monday,0,0,0,0,0,17,25,46,68,93,85,70,61,57,48,38,38,31,31,25,21,0,0,0
ChIJFY4KLq9ZwokROL0kzgBIbgE,Tuesday,0,0,0,0,0,12,27,53,80,82,76,74,72,72,68,72,68,59,48,36,31,0,0,0
ChIJFY4KLq9ZwokROL0kzgBIbgE,Wednesday,0,0,0,0,0,14,25,44,63,65,61,53,40,46,55,63,68,63,51,38,31,0,0,0
ChIJFY4KLq9ZwokROL0kzgBIbgE,Thursday,0,0,0,0,0,25,42,68,89,78,68,44,40,36,48,51,46,53,44,40,23,0,0,0
ChIJFY4KLq9ZwokROL0kzgBIbgE,Friday,0,0,0,0,0,12,27,53,72,100,87,85,76,80,72,65,61,72,70,53,31,0,0,0
ChIJFY4KLq9ZwokROL0kzgBIbgE,Saturday,0,0,0,0,0,25,29,51,65,85,87,80,80,68,74,82,87,82,55,29,14,0,0,0
ChIJFY4KLq9ZwokROL0kzgBIbgE,Sunday,0,0,0,0,0,12,19,29,42,55,70,68,61,57,59,61,65,68,63,46,31,0,0,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Monday,0,0,0,0,0,0,0,0,0,0,10,25,46,63,60,56,46,56,62,77,71,60,37,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Tuesday,0,0,0,0,0,0,0,0,0,0,33,57,86,96,90,66,50,48,56,51,43,34,25,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Wednesday,0,0,0,0,0,0,0,0,0,0,25,50,63,59,51,45,42,40,46,50,45,40,31,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Thursday,0,0,0,0,0,0,0,0,0,0,33,68,74,77,60,48,37,33,39,42,51,48,45,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Friday,0,0,0,0,0,0,0,0,0,0,21,31,51,60,57,50,48,51,66,71,77,68,42,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Saturday,0,0,0,0,0,0,0,0,0,0,33,50,62,69,63,57,53,57,68,71,66,53,31,0
ChIJj7T4TqVZwokRjFWjHrX9ff0,Sunday,0,0,0,0,0,0,0,0,0,0,27,25,27,25,31,39,45,63,84,100,87,62,36,0
ChIJJdmP46hZwokRqffbVAebL6s,Monday,51,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,37,29,33,40,33
ChIJJdmP46hZwokRqffbVAebL6s,Tuesday,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,44,44,40,37,33,37
ChIJJdmP46hZwokRqffbVAebL6s,Wednesday,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,59,66,62,48,44
ChIJJdmP46hZwokRqffbVAebL6s,Thursday,33,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,74,74,59,55,48,55
ChIJJdmP46hZwokRqffbVAebL6s,Friday,62,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,70,88,96,96,85,88
ChIJJdmP46hZwokRqffbVAebL6s,Saturday,81,62,59,55,0,0,0,0,0,0,0,0,0,0,0,0,0,62,81,66,51,48,66,100
ChIJJdmP46hZwokRqffbVAebL6s,Sunday,92,77,59,40,0,0,0,0,0,0,0,0,0,0,0,0,0,51,66,55,44,37,37,44
ChIJLW-vAa9ZwokRxF6TNljN9fY,Monday,0,0,0,0,0,45,76,98,82,64,50,52,41,49,49,66,58,43,0,0,0,0,0,0
ChIJLW-vAa9ZwokRxF6TNljN9fY,Tuesday,0,0,0,0,0,47,56,56,54,45,41,41,47,64,74,74,64,56,0,0,0,0,0,0
ChIJLW-vAa9ZwokRxF6TNljN9fY,Wednesday,0,0,0,0,0,47,66,80,68,50,41,45,47,56,56,60,52,49,0,0,0,0,0,0
ChIJLW-vAa9ZwokRxF6TNljN9fY,Thursday,0,0,0,0,0,37,52,68,66,62,60,54,60,72,78,90,82,68,0,0,0,0,0,0
ChIJLW-vAa9ZwokRxF6TNljN9fY,Friday,0,0,0,0,0,35,56,66,64,56,54,58,62,82,92,100,88,72,0,0,0,0,0,0
ChIJLW-vAa9ZwokRxF6TNljN9fY,Saturday,0,0,0,0,0,25,29,37,49,60,62,50,43,43,62,68,58,37,0,0,0,0,0,0
ChIJLW-vAa9ZwokRxF6TNljN9fY,Sunday,0,0,0,0,0,45,39,33,39,54,58,47,49,60,94,84,80,56,0,0,0,0,0,0
ChIJ8587uK5ZwokRhBVe6xxdXrw,Monday,0,0,0,0,0,0,0,0,0,0,0,0,18,22,29,22,18,25,51,40,48,37,40,48
ChIJ8587uK5ZwokRhBVe6xxdXrw,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,18,11,14,14,18,44,74,85,70,55,25,25
