grid_id,lat,lon,geometry,restaurant_count,weighted,population
M-0087,40.71107010173351,-73.9756708034558,"POLYGON ((-73.9742002152205060 40.7099439724724519, -73.9742002152205060 40.7121962247247069, -73.9771413916910916 40.7121962247247069, -73.9771413916910916 40.7099439724724519, -73.9742002152205060 40.7099439724724519))",0.0,1,958.0
M-0088,40.71332235398568,-74.016847274044,"POLYGON ((-74.0153766858087039 40.7121962247247069, -74.0153766858087039 40.7144484769769619, -74.0183178622792894 40.7144484769769619, -74.0183178622792894 40.7121962247247069, -74.0153766858087039 40.7121962247247069))",7.0,1,1037.0
M-0089,40.71332235398568,-74.01390609757341,"POLYGON ((-74.0124355093381183 40.7121962247247069, -74.0124355093381183 40.7144484769769619, -74.0153766858087039 40.7144484769769619, -74.0153766858087039 40.7121962247247069, -74.0124355093381183 40.7121962247247069))",9.0,1,843.0
M-0090,40.71332235398568,-74.01096492110283,"POLYGON ((-74.0094943328675328 40.7121962247247069, -74.0094943328675328 40.7144484769769619, -74.0124355093381183 40.7144484769769619, -74.0124355093381183 40.7121962247247069, -74.0094943328675328 40.7121962247247069))",12.0,2,1000.0
M-0091,40.71332235398567,-74.00802374463224,"POLYGON ((-74.0065531563969472 40.7121962247247069, -74.0065531563969472 40.7144484769769619, -74.0094943328675328 40.7144484769769619, -74.0094943328675328 40.7121962247247069, -74.0065531563969472 40.7121962247247069))",32.0,4,1679.0
M-0092,40.71332235398568,-74.00508256816165,"POLYGON ((-74.0036119799263616 40.7121962247247069, -74.0036119799263616 40.7144484769769619, -74.0065531563969472 40.7144484769769619, -74.0065531563969472 40.7121962247247069, -74.0036119799263616 40.7121962247247069))",3.0,1,786.0
M-0093,40.71332235398567,-74.00214139169107,"POLYGON ((-74.0006708034557761 40.7121962247247069, -74.0006708034557761 40.7144484769769619, -74.0036119799263616 40.7144484769769619, -74.0036119799263616 40.7121962247247069, -74.0006708034557761 40.7121962247247069))",0.0,1,456.0
M-0094,40.71332235398567,-73.99920021522048,"POLYGON ((-73.9977296269851905 40.7121962247247069, -73.9977296269851905 40.7144484769769619, -74.0006708034557761 40.7144484769769619, -74.0006708034557761 40.7121962247247069, -73.9977296269851905 40.7121962247247069))",22.0,3,1015.0
M-0095,40.71332235398568,-73.9962590387499,"POLYGON ((-73.9947884505146050 40.7121962247247069, -73.9947884505146050 40.7144484769769619, -73.9977296269851905 40.7144484769769619, -73.9977296269851905 40.7121962247247069, -73.9947884505146050 40.7121962247247069))",25.0,3,4521.0
M-0096,40.71332235398568,-73.99331786227931,"POLYGON ((-73.9918472740440194 40.7121962247247069, -73.9918472740440194 40.7144484769769619, -73.9947884505146050 40.7144484769769619, -73.9947884505146050 40.7121962247247069, -73.9918472740440194 40.7121962247247069))",19.0,2,3718.0
M-0097,40.71332235398567,-73.99037668580873,"POLYGON ((-73.9889060975734338 40.7121962247247069, -73.9889060975734338 40.7144484769769619, -73.9918472740440194 40.7144484769769619, -73.9918472740440194 40.7121962247247069, -73.9889060975734338 40.7121962247247069))",20.0,3,3174.0
M-0098,40.71332235398567,-73.98743550933814,"POLYGON ((-73.9859649211028483 40.7121962247247069, -73.9859649211028483 40.7144484769769619, -73.9889060975734338 40.7144484769769619, -73.9889060975734338 40.7121962247247069, -73.9859649211028483 40.7121962247247069))",10.0,2,2165.0
M-0099,40.71332235398567,-73.98449433286756,"POLYGON ((-73.9830237446322627 40.7121962247247069, -73.9830237446322627 40.7144484769769619, -73.9859649211028483 40.7144484769769619, -73.9859649211028483 40.7121962247247069, -73.9830237446322627 40.7121962247247069))",1.0,1,1042.0
M-0100,40.71332235398568,-73.98155315639697,"POLYGON ((-73.9800825681616772 40.7121962247247069, -73.9800825681616772 40.7144484769769619, -73.9830237446322627 40.7144484769769619, -73.9830237446322627 40.7121962247247069, -73.9800825681616772 40.7121962247247069))",1.0,1,1077.0
M-0101,40.71332235398568,-73.97861197992638,"POLYGON ((-73.9771413916910916 40.7121962247247069, -73.9771413916910916 40.7144484769769619, -73.9800825681616772 40.7144484769769619, -73.9800825681616772 40.7121962247247069, -73.9771413916910916 40.7121962247247069))",0.0,1,1430.0
